loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,oversample_factor,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
huber,28,1.5,0.0003808805149076608,0.3,8,32,3,32,1.2759259449422115e-06,40,0.04353541135787964,0.049570705741643906,0.0823473110795021,0.10997801274061203,0.09862571954727173,0.07858262956142426,0.24378912150859833
huber,28,2.75,2.4110093064125096e-05,0.2,8,16,3,32,6.462357940884006e-06,40,0.11733905225992203,0.12198290973901749,0.06430736184120178,0.08568459004163742,0.11286291480064392,-0.0032659529242664576,0.3347857594490051
weibull,28,2.75,8.226895636036379e-05,0.3,8,32,2,32,4.896777903388971e-06,10,0.16851423680782318,0.17246319353580475,0.07091262191534042,0.08940439671278,0.1278337687253952,-0.039373379200696945,0.4048336446285248
weibull,5,3.5,4.287959582673244e-05,0.3,8,16,2,32,2.8582532494795146e-06,5,0.07397961616516113,0.07926622033119202,0.07154969125986099,0.10196229070425034,0.19065186381340027,0.06438841670751572,0.24597755074501038
huber,28,2.75,8.575386681341044e-05,0.3,8,32,3,32,0.00028692588882347423,10,0.16198550164699554,0.16933833062648773,0.08522319048643112,0.10146103799343109,0.11999550461769104,-0.04855635017156601,0.5046911239624023
huber,45,2.75,0.0004913945938524223,0.3,8,16,3,32,3.610142634373583e-06,5,0.020891286432743073,0.031130395829677582,0.10029716789722443,0.12394862622022629,0.1298856884241104,0.09724143892526627,0.25561004877090454
huber,15,1.5,2.0323533326043263e-05,0.1,8,32,2,32,1.2435165042844557e-06,20,0.15050196647644043,0.15504899621009827,0.07780569046735764,0.0985373929142952,0.11678306013345718,-0.04287831857800484,0.4356442093849182
huber,5,1.5,0.0004888149317355012,0.1,8,16,2,32,1.6521999871543996e-05,40,0.037708621472120285,0.04702448472380638,0.07454405725002289,0.10124451667070389,0.09147785604000092,0.043106261640787125,0.44191569089889526
huber,5,1.5,6.938313359691745e-05,0.2,8,16,3,32,2.542321218843396e-05,40,0.07564491033554077,0.08169644325971603,0.06385183334350586,0.08863075077533722,0.10516520589590073,0.027194151654839516,0.30873867869377136
huber,45,2.75,4.9006325512570814e-05,0.1,8,32,2,32,1.3873775345866516e-05,40,0.09375997632741928,0.098774254322052,0.05977710336446762,0.08451928198337555,0.09880885481834412,0.011133236810564995,0.36726802587509155
weighted_mse,28,1.5,0.00033446243457794513,0.1,8,16,2,32,1.0951741369697514e-06,5,0.025899147614836693,0.037604253739118576,0.08103559166193008,0.10610049217939377,0.1066422089934349,0.04777486249804497,0.5080805420875549
weighted_mse,45,3.5,0.0004699648259408578,0.1,8,16,3,32,0.00019559480937491423,20,0.06405457109212875,0.07211916893720627,0.06767968088388443,0.0946771577000618,0.08660010993480682,0.05077917128801346,0.41885438561439514
huber,15,2,0.00015060716913467838,0.3,8,16,3,32,0.0005603379654707585,40,0.05297112464904785,0.059640511870384216,0.06818614155054092,0.09604581445455551,0.10180767625570297,0.04837948456406593,0.2823677659034729
huber,28,2,7.373076821366777e-05,0.3,8,16,2,32,0.0003672695095809772,20,0.07395593076944351,0.07960548251867294,0.06246558949351311,0.08981319516897202,0.1146017462015152,0.03842005506157875,0.30509403347969055
