loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
huber,15,2,0.000277744809582769,0.1,8,32,2,32,3.3238919944987235e-05,0.034054502844810486,0.04124969616532326,0.10542723536491394,0.13082803785800934,0.14484566450119019,0.1046120896935463,0.20571713149547577
weighted_mse,5,2.75,2.7967922685524795e-05,0.2,8,32,2,32,2.9911239484664328e-06,0.2204461693763733,0.22563861310482025,0.07798682153224945,0.09519868344068527,0.1514173299074173,-0.04378829523921013,0.37084147334098816
huber,15,2.75,1.585367884066493e-05,0.1,8,32,3,32,0.00015912011605280537,0.0636875107884407,0.06972700357437134,0.08133827149868011,0.11172626912593842,0.15752312541007996,0.07392007857561111,0.3855891525745392
weibull,45,2,0.00044585293154097234,0.3,8,32,3,32,0.0009986505466958269,0.03562748804688454,0.04307194799184799,0.13534727692604065,0.15598590672016144,0.16022448241710663,0.13534727692604065,0.12547580897808075
weighted_mse,28,2.75,4.925799870937892e-05,0.2,8,32,3,32,0.0002710215158584126,0.1725362241268158,0.1771222949028015,0.05814307928085327,0.08282633125782013,0.14199936389923096,-0.006763359531760216,0.30693739652633667
huber,45,1.5,6.92914903833026e-05,0.1,8,32,3,32,1.922571293037721e-06,0.07621215283870697,0.08100072294473648,0.08047809451818466,0.11084789037704468,0.152734637260437,0.06519261747598648,0.36053645610809326
weighted_mse,5,1.5,0.00011404209411108014,0.1,8,16,3,32,1.4592853375048288e-05,0.06135670095682144,0.06653066724538803,0.08093077689409256,0.1101408377289772,0.13377609848976135,0.07518774271011353,0.2341994196176529
huber,5,2.75,0.0006965313712223702,0.2,8,16,2,32,8.454515662809728e-06,0.019972963258624077,0.03175566717982292,0.11143553256988525,0.1352577805519104,0.14932601153850555,0.108725905418396,0.2608199417591095
weibull,5,1.5,1.440078541696528e-05,0.2,8,32,3,32,1.8708298622800263e-05,0.08313553780317307,0.09186318516731262,0.074159175157547,0.0986555814743042,0.207275852560997,0.009083353914320469,0.4187387228012085
huber,45,2,3.8049898431762174e-05,0.1,8,16,2,32,2.686803822559348e-05,0.13012278079986572,0.13554857671260834,0.06059424206614494,0.08670869469642639,0.15624071657657623,0.009316230192780495,0.34667590260505676
huber,15,2.75,6.249178483592847e-05,0.1,8,32,3,32,0.0006263208759112813,0.09170937538146973,0.09706437587738037,0.08555277436971664,0.12286350131034851,0.14338241517543793,0.034534744918346405,0.6424534320831299
weibull,5,2,0.0007200967807994209,0.2,8,32,2,32,5.129285958481328e-06,0.021859250962734222,0.03743966296315193,0.17454467713832855,0.1909213811159134,0.20954473316669464,0.17454467713832855,0.07507051527500153
weibull,28,2,3.47526874282169e-05,0.3,8,32,3,32,1.9379201904490828e-06,0.15983989834785461,0.16369886696338654,0.05909904092550278,0.07985095679759979,0.1658155471086502,-0.006691130343824625,0.2744496464729309
weighted_mse,15,3.5,1.145092393701664e-05,0.1,8,16,2,32,0.0004839492242314745,0.16116000711917877,0.1658559888601303,0.057904813438653946,0.08289464563131332,0.14397411048412323,0.00337273720651865,0.30712106823921204
weibull,28,3.5,5.121534355712788e-05,0.3,8,32,3,32,3.760375693519552e-05,0.1739640235900879,0.17794379591941833,0.07035638391971588,0.08807931840419769,0.16765306890010834,-0.029366768896579742,0.318611741065979
huber,28,1.5,1.117663243286287e-05,0.2,8,16,2,32,0.00019400619826391016,0.17137646675109863,0.17700235545635223,0.07077320665121078,0.09520415961742401,0.1696620136499405,-0.0262247696518898,0.4050314128398895
huber,45,3.5,4.079584329175187e-05,0.1,8,16,3,32,2.9536149099871845e-06,0.044978123158216476,0.051119182258844376,0.11731716245412827,0.14111565053462982,0.15527784824371338,0.11731716245412827,0.17239448428153992
huber,5,1.5,9.632600021628146e-05,0.1,8,16,2,32,0.00014653800965834748,0.03242361545562744,0.03981297090649605,0.10485327243804932,0.12941601872444153,0.1526893824338913,0.10408318042755127,0.23332233726978302
huber,28,2.75,2.2252428678585505e-05,0.2,8,32,3,32,1.450948037012293e-06,0.09212824702262878,0.09723783284425735,0.07293011248111725,0.10370566695928574,0.174109548330307,0.03686310723423958,0.4763089120388031
weighted_mse,15,2,8.696140597186395e-05,0.1,8,32,2,32,8.103657488960252e-06,0.15005624294281006,0.1546991765499115,0.05716164782643318,0.08223151415586472,0.13541767001152039,0.0023453282192349434,0.31500694155693054
weibull,5,3.5,7.04418318889001e-05,0.2,8,32,3,32,9.944201169981144e-06,0.10685965418815613,0.11074263602495193,0.06488444656133652,0.09766143560409546,0.1983622908592224,0.0345320999622345,0.4425198435783386
huber,28,3.5,2.332655722815511e-05,0.2,8,32,2,32,1.973955557661968e-06,0.1490371823310852,0.15458549559116364,0.062270935624837875,0.08900954574346542,0.16972142457962036,-0.005910762120038271,0.36807772517204285
huber,5,2,0.00026672639225308,0.3,8,32,3,32,1.2632755079633558e-06,0.027383990585803986,0.0374269112944603,0.14808353781700134,0.16744668781757355,0.15569646656513214,0.14808353781700134,0.12435504049062729
huber,28,3.5,8.384364450684873e-05,0.3,8,16,2,32,9.122906931916313e-06,0.0563834011554718,0.061836790293455124,0.09308183193206787,0.120771124958992,0.16129790246486664,0.09268151968717575,0.20106615126132965
weibull,5,2.75,0.0001252160004254511,0.3,8,16,2,32,4.3725055418054056e-05,0.05042343959212303,0.0563264936208725,0.10639127343893051,0.13199129700660706,0.20170609652996063,0.10628408193588257,0.18215258419513702
weighted_mse,45,3.5,0.00012017214012820728,0.3,8,16,2,32,1.846116365065308e-05,0.05826537311077118,0.06360398977994919,0.08887997269630432,0.11654312163591385,0.14601674675941467,0.08685985207557678,0.23455439507961273
huber,5,2.75,0.00025843924070019557,0.1,8,32,2,32,0.00010663977963659991,0.02942599169909954,0.037560269236564636,0.09721303731203079,0.12337997555732727,0.15139363706111908,0.0917288213968277,0.28387317061424255
weighted_mse,28,2.75,0.00030813208880832405,0.3,8,32,2,32,0.0001990395497965929,0.04976008087396622,0.05603956803679466,0.09015605598688126,0.1174767017364502,0.13438929617404938,0.08410121500492096,0.24389240145683289
huber,45,2,7.393143702038157e-05,0.3,8,32,3,32,1.0183402753696311e-06,0.07462425529956818,0.0795169249176979,0.08647233992815018,0.11806152015924454,0.16708415746688843,0.08480250090360641,0.19674327969551086
weibull,28,2,9.730408329561052e-05,0.2,8,16,2,32,1.5188351962006337e-06,0.06613185256719589,0.07126884162425995,0.08422248810529709,0.11400233209133148,0.15107972919940948,0.08238493651151657,0.21461160480976105
weibull,5,3.5,0.00034961379314897713,0.1,8,32,3,32,0.0005339026357603381,0.038977064192295074,0.04559513181447983,0.1164986714720726,0.14118903875350952,0.18846864998340607,0.11627378314733505,0.17840082943439484
weighted_mse,28,2,1.6310596611225533e-05,0.2,8,16,2,32,8.0599868772134e-06,0.20235273241996765,0.20858412981033325,0.06393833458423615,0.08583883196115494,0.15259669721126556,-0.016359219327569008,0.36446481943130493
weibull,45,3.5,1.4591709781590923e-05,0.1,8,32,2,32,0.0005369855911540651,0.1842275708913803,0.18845418095588684,0.06921093165874481,0.09028320759534836,0.15125907957553864,-0.03223278000950813,0.36618128418922424
weighted_mse,28,2,0.000800662711475193,0.1,8,32,3,32,3.0082688674923414e-05,0.02653951197862625,0.03802463039755821,0.0809614285826683,0.10904794186353683,0.13032980263233185,0.06799952685832977,0.33343982696533203
weighted_mse,15,1.5,1.0469981444498824e-05,0.1,8,32,2,32,0.0005390807228999721,0.16840437054634094,0.17360220849514008,0.05680422484874725,0.08265388011932373,0.14218273758888245,0.0006661370280198753,0.31934431195259094
weighted_mse,45,2.75,0.00033139256187657496,0.2,8,16,2,32,1.2818174266697056e-05,0.024790693074464798,0.036453261971473694,0.09266719967126846,0.12065339088439941,0.1407572627067566,0.08044376224279404,0.3030325770378113
