Rank,CISI,City,Country,Lat,Lon
1,1.0,Vitry-sur-Seine,France,48.78333282,2.375
2,0.690217273335416,Berlin,Germany,52.53333282,13.375
3,0.6773574663539644,Loures,Portugal,38.78333282,-9.125
4,0.638738153103172,Greater London,United Kingdom,51.53333282,-0.125
5,0.5616906661945562,Prague,Czechia,50.03333282,14.375
6,0.5439780683323939,Villeneuve-Tolosane,France,43.53333282,1.375
7,0.533775431499544,Alcobendas,Spain,40.53333282,-3.625
8,0.5334038908946224,Villeurbanne,France,45.78333282,4.875
9,0.5276579347726252,Budapest,Hungary,47.53333282,19.125
10,0.5246204705962237,Novate Milanese,Italy,45.53333282,9.125
11,0.49190340134661725,Mościska,Poland,52.28333282,20.875
12,0.4842368757685954,Versailles,France,48.78333282,2.125
13,0.4768092202623483,Greater London,United Kingdom,51.53333282,0.125
14,0.46544197853834285,Voluntari,Romania,44.53333282,26.125
15,0.46476809288497334,Sosnowiec,Poland,50.28333282,19.125
16,0.46364891618307175,Ząbki,Poland,52.28333282,21.125
17,0.4625141925254755,Castêlo da Maia,Portugal,41.28333282,-8.625
18,0.457682030478936,Makiivka,Ukraine,48.03333282,37.875
19,0.44185822920849066,Vienna,Austria,48.28333282,16.375
20,0.43802665832130433,Chișinău,Moldova,47.03333282,28.875
